repo,file_path,lines_of_code,unique_authors_12m,dominant_author,dominant_author_share,bus_factor_single_dev,churn_12m,risk_score
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionClassFanOutComplexityTest.java,120,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionClassDataAbstractionCouplingTest.java,162,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionBooleanExpressionComplexityTest.java,116,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionMissingJavadocTypeTest.java,203,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionMissingJavadocPackageTest.java,87,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionMissingJavadocMethodTest.java,114,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionJavadocVariableTest.java,107,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionTypeNameTest.java,97,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionRecordTypeParameterNameTest.java,102,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionRecordComponentNameTest.java,95,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionParameterNameTest.java,150,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionPackageNameTest.java,132,1,SteLeo1602,1.0,True,14,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionMethodTypeParameterNameTest.java,132,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionMethodNameTest.java,124,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionMemberNameTest.java,99,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionLocalVariableNameTest.java,116,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionLocalFinalVariableNameTest.java,121,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionLambdaParameterNameTest.java,123,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionInterfaceTypeParameterNameTest.java,146,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionIllegalIdentifierNameTest.java,97,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionConstantNameTest.java,134,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionClassTypeParameterNameTest.java,134,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionCatchParameterNameTest.java,236,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionNoWhitespaceBeforeCaseDefaultColonTest.java,146,1,SteLeo1602,1.0,True,9,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionNoWhitespaceAfterTest.java,138,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionNoLineWrapTest.java,133,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionMethodParamPadTest.java,115,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionGenericWhitespaceTest.java,283,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionEmptyLineSeparatorTest.java,172,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionEmptyForIteratorPadTest.java,100,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/whitespace/XpathRegressionEmptyForInitializerPadTest.java,100,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionRecordComponentNumberTest.java,100,1,SteLeo1602,1.0,True,8,5
