repo,repo_url,seed_category,activity_label,analysis_date_utc,repo_head_sha,file_path,file_language,absolute_path,lines_of_code,unique_authors_12m,repo_unique_authors_12m,repo_commits_12m,repo_commits_per_month_12m,churn_12m,added_lines_12m,deleted_lines_12m,bus_factor_single_dev,bus_factor_75_dominant_author,dominant_author,dominant_author_share,last_12m_observed_commits
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/StrictPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java,119,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/TakeUntilPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java,95,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/ToFlowablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java,111,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\parallel\ParallelPerf.java,112,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableConcatMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java,85,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableConcatMapMaybeEmptyPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java,85,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableConcatMapMaybePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableConcatMapSinglePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java,85,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java,85,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybeEmptyPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapSinglePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapCompletablePerf.java,85,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapMaybeEmptyPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybeEmptyPerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapMaybePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybePerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
