project_key,file_path,sonar_complexity,sonar_ncloc,sonar_cognitive_complexity,sonar_comment_lines_density,sonar_reliability_rating,sonar_security_rating,sonar_sqale_rating,sonar_sqale_index,sonar_violations,sonar_code_smells,sonar_bugs,sonar_vulnerabilities,sonar_duplicated_blocks,sonar_duplicated_lines_density,sonar_test_success_density,repo,analysis_date_utc,repo_head_sha,sonar_host_url,sonar_project_key
guava,guava-tests/test/com/google/common/base/UnannotatedJavaClass.java,2,9,,10.0,1.0,1.0,1.0,,,,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/Utf8Test.java,32,232,25,22.7,4.0,1.0,1.0,5,5,1,4,,1,87.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/VerifyTest.java,18,67,,4.3,1.0,1.0,1.0,8,1,1,,,1,68.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/AbstractCacheTest.java,29,163,17,1.2,1.0,1.0,1.0,,,,,,1,81.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/AbstractLoadingCacheTest.java,20,113,8,1.7,1.0,1.0,1.0,,,,,,1,76.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/AndroidIncompatible.java,0,14,,26.3,1.0,1.0,1.0,,,,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheBuilderFactory.java,30,194,10,4.4,1.0,1.0,1.0,20,1,1,,,1,82.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheBuilderGwtTest.java,27,373,3,2.6,1.0,1.0,1.0,37,10,10,,,2,89.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheBuilderSpecTest.java,66,412,,1.2,1.0,1.0,1.0,50,7,7,,,1,91.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheBuilderTest.java,99,479,22,14.8,4.0,1.0,1.0,62,14,12,2,,2,90.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheEvictionTest.java,28,307,7,11.0,2.0,1.0,1.0,,1,,1,,1,89.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheExpirationTest.java,40,407,17,8.5,1.0,1.0,1.0,22,5,5,,,1,91.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheLoaderTest.java,6,73,,5.2,1.0,1.0,1.0,24,8,8,,,1,62.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheLoadingTest.java,195,2013,41,4.5,1.0,1.0,1.0,95,10,10,,,1,97.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheManualTest.java,2,118,,0.8,1.0,1.0,1.0,,,,,,1,81.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheReferencesTest.java,16,111,7,5.9,1.0,1.0,1.0,,,,,,1,74.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheRefreshTest.java,2,71,1,7.8,1.0,1.0,1.0,,,,,,1,68.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheStatsTest.java,5,98,,2.0,1.0,1.0,1.0,,,,,,1,76.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/CacheTesting.java,80,377,83,8.7,1.0,1.0,1.0,27,3,3,,,1,89.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/EmptyCachesTest.java,61,264,23,5.4,1.0,1.0,1.0,,,,,,1,86.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/ForwardingCacheTest.java,12,72,,8.9,1.0,1.0,1.0,2,1,1,,,2,65.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
